"","Minutes_played_OT","Field_goal_2pt_attempts","Field_goal_2pt_pct","Field_goal_3pt_attempts","Field_goal_3pt_pct","Free_throw_pct","Offensive_rebounds","Defensive_rebounds","Assists","Blocks","Turnovers","Personal_fouls","Points"
"1",0,-2.6,0.066,5.3,0.014,0.037,1.5,2.7,5,-0.6,-1.4,0.8,9.1
"2",0,4.7,0.073,-6,0.051,0.055,-0.1,5,0.3,0.3,0.3,-0.6,9.9
"3",0.1,-1.5,0.033,2.8,0.069,0.006,0.1,1.6,2.5,0.2,-1,0,8
"4",0.1,-6.8,0.062,10,0.056,-0.019,2.2,2.6,2.3,1.7,-0.1,0.8,9.6
"5",0.4,4.8,0.069,-5.2,0.003,-0.056,0,2.5,3.8,2.1,-0.3,0.2,4.6
"6",0.3,-5.2,0.062,2.5,0.024,0.038,-4.7,-0.1,1.5,2,-1.3,2.3,2.4
"7",0.2,3.2,-0.001,-3.1,0.023,0.046,-0.6,1,0.1,-0.3,-0.4,0,2.7
"8",0.3,7.1,0.062,-3.8,0.039,0.005,4,5.8,4.6,1.3,-0.6,-1.8,12.8
"9",0.1,4.2,0.062,0,0.051,0.013,3.6,4.2,4.4,-0.7,-2.5,-1.4,15.9
"10",0.3,2.3,0.044,3.4,0.041,-0.006,3,1.8,2.7,0.6,-3.5,-0.6,12.9
"11",0.4,-1.3,0.072,-2.2,0.052,-0.01,2.5,7,2.6,1.1,2.3,-4.9,11
"12",0.3,2,0.038,3.1,0.011,0.065,0.8,0.3,4,0.1,-3.3,0,8.2
"13",0.3,4.3,0.021,-2.8,0.059,-0.024,0.7,1.5,1.4,0.1,-0.3,1.7,4.5
"14",0.4,-2,0.026,0.6,0.021,0.039,3.3,5.3,2.1,0.3,2,-2,6.6
"15",0.7,7.7,0.021,-2,0.032,0.015,2.7,0.7,2.3,0.1,-4.2,-1.1,10.9
"16",0.1,-4.4,0.07,2.6,0.012,-0.017,1.1,2.8,2.2,0.9,-0.4,-3.1,8
"17",0,-0.2,-0.003,2.1,-0.019,0.06,1,-0.9,-0.4,-0.4,-2.7,-2.1,3.9
"18",0.8,-3.1,0.019,0,0.044,0.032,0.3,2.9,2,0,0.9,-2.3,5.3
"19",0.3,9.4,0.028,-4.9,0.034,0.041,1,1.3,1.3,0.9,-3.1,2.4,9.2
"20",0.2,-0.7,0.055,-2.6,0.054,-0.076,-0.1,4.2,1.1,0.2,1.3,-1.3,6.3
"21",0.6,0.5,0.085,4.1,0.008,-0.002,1.6,2.3,3.5,4.1,-2.4,1,11
"22",0.5,5,0.032,-3.2,0.054,0.012,0.3,1.7,1.4,1.8,-1.7,0.5,7.3
"23",0.3,3.4,-0.007,1.7,0.026,-0.035,0.6,-1.5,3.1,-0.9,-2.8,1.3,3.1
"24",0.3,0,0.08,-2,0.026,-0.051,1.3,5.1,2.4,1,2.4,-1.6,6.4
"25",0.4,-6.9,0.097,0.8,-0.009,0.01,-1.8,4.2,2,0.8,3.4,-2,2.8
"26",0.1,-4.9,0.051,3.7,0.069,0.02,-0.3,2.9,3.6,0.7,0.4,-0.4,8.5
"27",0.1,1.4,0.068,-4.7,0.092,0.018,-1.1,4.8,3,-0.1,-0.7,-2.6,12.7
"28",0.1,1.8,0.018,-1.8,-0.006,0.063,-2.9,-1.9,-1.1,-0.2,-4.4,-0.5,3.5
"29",0.2,2,0.035,-3,0.01,0.032,1.1,3.5,-0.7,2.7,2.8,-0.7,2.9
"30",0.3,0.8,0.026,3.4,0.034,0.038,1.1,0.3,1.6,1.4,-4.4,-1.6,12
"31",0.4,0.7,0.072,-1.2,0.063,-0.002,0.3,4.5,3.5,1.1,-0.6,-1.5,10.9
"32",0.3,-3.8,0.024,2.9,-0.014,-0.007,-1.8,-1.5,1.8,-0.7,-3,-1.7,2.6
"33",0.4,6.4,0.043,-0.3,0.051,0.033,2.2,2.3,1.8,0.6,-4.3,0.9,13.6
"34",0.2,-0.7,0.016,1.4,0.028,-0.022,1.3,1.4,-1.2,1.2,-0.6,-0.8,5.5
"35",0.3,5.9,-0.026,-2.3,0.058,-0.012,4.3,2.2,2.2,-1.3,-2.1,-2.8,9.9
"36",0,0.9,0.023,-1.9,0.015,0.012,1.7,3.7,3,0.1,1.7,-0.7,3.2
"37",0.3,-3.7,0.073,0.6,-0.006,-0.016,-1.9,0.9,1.1,1,-0.1,-1.9,3.2
"38",0.3,-3.1,0.153,-0.5,0.024,0.065,-0.3,7.9,7.8,2.8,0.6,-2.1,15.9
"39",0.3,2.5,0.033,0.2,0.048,0.058,1.8,3.1,2.1,-1.4,-1.3,0.9,9.8
"40",0.4,6.3,0.111,0.7,0.05,-0.05,3.3,3.7,5.4,2.9,-3.1,0.3,16
"41",0.6,-2,0.078,2.8,0.07,-0.02,-0.1,2.8,5.7,-1.1,-1.3,0.1,11.3
"42",0,0.9,0.008,-1.2,0.001,0.053,0.3,0.9,2.9,0.1,-0.8,-3.4,4
"43",0.1,-2,0.014,2.6,0.051,0.096,0.4,1.7,0.6,-1.2,-1.9,-1.4,9
"44",0.3,-8.7,0.062,7.2,0.039,-0.009,1.7,3.8,5,0.1,1.8,-1.8,7.2
"45",0.3,2.8,0.025,2.8,0.047,0.004,2.3,0.9,5,1.5,-3.5,-0.3,10.6
"46",0.3,2,0.051,-2.5,0.029,0.061,-1.6,1.3,2.3,0.2,-2.3,-2.2,7.4
"47",0.3,-4.3,0.082,0.6,0.027,0.026,-1.3,3.9,1,2.3,1,-0.8,5.1
"48",0.3,2.3,0.023,-1.6,-0.007,-0.035,3.8,4.6,0.6,0.7,1.9,-0.6,3.6
"49",0.4,-1.4,0.054,1,0.039,0.002,0.9,3.2,3.6,0.9,0,-1.6,7.2
"50",0,0.8,0.011,-3,0.062,0.042,0.1,4,2.8,1.6,2.4,0,3.3
"51",0,-2.8,0.186,0.5,0.065,0.014,-0.1,8.8,7.9,2.9,-0.4,-2.8,21
"52",0.5,4.1,-0.005,2.7,-0.037,0.034,2.8,-1.8,0.5,1,-4.5,-0.7,5
"53",0,4.3,0.015,-4.1,-0.047,0.065,0.8,0.6,-2,-1.3,-1.8,-3.4,3.5
"54",0,6.3,0.064,-7.7,0.035,0,0.8,5.3,2.5,2,1.5,0.3,6.9
"55",0.8,1.4,0.054,2.4,-0.001,0.066,3.7,3.8,3.7,3.1,-0.4,-0.2,9.5
"56",0.1,-0.9,0.092,-0.9,0.029,-0.045,1.8,5.3,2.5,2,2.2,-2.9,7.9
"57",0.2,-6.6,0.066,7.9,-0.029,0.013,1.9,1.6,2.2,1,1.3,0.3,3
